student_id,age,gender,education_level,school_type,family_income,parent_education,previous_exam_score,previous_gpa,assignment_completion_rate,class_participation,study_hours_per_day,self_study_hours,private_tuition,study_consistency,study_environment,revision_frequency,practice_tests_completed,sleep_hours,daily_screen_time,physical_activity_hours,stress_level,internet_access,exam_difficulty,exam_preparation_days,questions_attempted,questions_correct,time_management_score,exam_anxiety_level,exam_score,performance_grade,pass_status,performance_level
STU_000014,18,Female,High School,Private,Lower-Middle,Unknown,67.88,2.64,90.35,Medium,5.86,3.75,0,Medium,Quiet,Daily,7,8.65,4.4,1.9,7,1,Hard,24,94,58,100.0,7.1,61.67,D,Pass,Medium
STU_000015,17,Male,High School,Public,Middle,Associate,71.9,2.7,69.98,High,3.19,2.79,0,Low,Quiet,Rarely,9,7.16,3.6,4.85,10,1,Medium,26,94,72,76.86,10.0,75.29,B,Pass,Medium
STU_000016,16,Male,High School,Public,Middle,Bachelor,41.12,1.83,86.47,High,0.5,0.3,0,High,Noisy,Weekly,5,7.22,6.78,1.42,9,1,Hard,14,93,36,96.84,8.47,38.77,F,Fail,Low
STU_000017,19,Male,High School,Public,Middle,Bachelor,75.61,3.12,59.84,Medium,3.62,2.37,1,Low,Quiet,Daily,3,8.81,1.75,3.6,10,1,Medium,17,87,77,91.31,10.0,86.36,A,Pass,High
STU_000018,18,Male,Undergraduate,Public,Middle,High School,73.86,2.78,83.33,Medium,2.65,2.34,0,High,Quiet,Daily,3,5.84,5.59,1.37,10,1,Hard,11,92,52,79.0,8.43,55.88,D,Pass,Low
STU_000019,15,Female,High School,Public,Low,Master,52.9,2.03,57.6,Medium,0.87,0.67,0,Medium,Quiet,Weekly,4,6.19,5.54,4.66,10,1,Hard,3,100,30,79.0,9.85,32.5,F,Fail,Low
STU_000020,17,Female,High School,Private,Lower-Middle,Associate,87.54,3.52,83.69,Medium,2.16,1.3,1,Medium,Moderate,Weekly,0,6.61,7.06,2.18,10,0,Medium,28,93,64,81.07,10.0,70.56,C,Pass,Medium
STU_000021,19,Female,High School,Public,Low,Bachelor,75.66,2.88,68.79,Medium,2.27,1.9,0,Medium,Noisy,Daily,5,9.28,6.28,6.6,10,1,Medium,28,95,64,98.01,9.8,68.1,C,Pass,Medium
STU_000022,19,Other,Undergraduate,Private,Lower-Middle,High School,59.1,2.66,72.14,High,4.81,3.33,1,Medium,Quiet,Daily,8,7.17,8.02,2.52,10,0,Hard,24,85,53,60.8,7.74,59.96,D,Pass,Low
STU_000023,15,Male,High School,Public,Low,High School,63.72,2.42,63.28,Medium,1.46,1.25,0,High,Quiet,Daily,5,7.37,3.86,2.48,9,1,Medium,1,90,18,78.7,8.43,19.76,F,Fail,Low
STU_000024,17,Male,Undergraduate,Public,Upper-Middle,Associate,74.88,2.8,77.12,High,4.11,3.15,1,Medium,Moderate,Daily,11,6.52,8.49,1.1,7,1,Medium,1,87,62,100.0,9.02,72.44,C,Pass,Medium
STU_000025,18,Male,Undergraduate,Private,Upper-Middle,Associate,86.91,3.58,64.81,Medium,0.75,0.65,0,Medium,Moderate,Weekly,4,7.12,4.03,1.57,10,1,Hard,24,97,68,100.0,8.78,72.34,C,Pass,Medium
STU_000026,14,Female,Undergraduate,Public,Upper-Middle,High School,100.0,4.0,75.74,Low,3.88,1.99,0,High,Quiet,Daily,13,5.71,6.0,3.33,10,1,Hard,25,91,59,64.33,10.0,66.4,C,Pass,Medium
STU_000027,17,Female,High School,Private,High,Bachelor,88.96,3.66,55.44,Medium,0.5,0.35,0,High,Quiet,Weekly,4,5.72,7.75,3.92,9,1,Medium,14,89,59,57.36,8.72,66.34,C,Pass,Medium
STU_000028,15,Male,High School,Private,Middle,Associate,72.24,2.99,60.58,Medium,1.15,0.68,1,Medium,Moderate,Daily,3,7.48,6.33,1.46,10,1,Hard,23,91,44,66.75,10.0,47.83,F,Fail,Low
STU_000029,19,Female,High School,Charter,Low,Bachelor,74.52,3.34,56.74,Medium,2.83,2.36,0,Low,Quiet,Weekly,5,7.88,4.23,0.5,8,1,Medium,2,92,69,90.01,4.11,73.88,C,Pass,Medium
STU_000030,18,Female,High School,Charter,Low,Associate,58.62,2.08,72.11,Medium,5.57,4.84,0,Low,Quiet,Weekly,7,5.49,3.13,0.32,10,1,Hard,17,96,58,89.45,10.0,58.27,D,Pass,Low
STU_000031,17,Male,High School,Public,Low,Associate,66.2,2.89,56.36,Medium,5.35,3.61,0,Medium,Moderate,Daily,6,8.63,3.2,0.26,10,1,Hard,25,89,60,72.54,10.0,65.74,C,Pass,Medium
STU_000032,14,Male,Undergraduate,Private,Middle,Bachelor,65.48,2.74,59.9,High,2.85,1.8,0,High,Noisy,Daily,7,8.57,4.79,6.03,7,1,Medium,15,87,69,73.2,5.03,81.66,B,Pass,High
STU_000033,14,Male,High School,Private,Low,Master,63.05,2.88,74.87,Medium,4.59,3.32,1,Medium,Quiet,Daily,11,6.96,7.09,5.37,9,1,Medium,4,88,77,87.4,8.78,84.17,B,Pass,High
STU_000034,16,Female,Undergraduate,Public,Middle,High School,84.86,3.5,51.95,Medium,1.01,0.62,0,Medium,Noisy,Weekly,2,6.81,4.31,0.98,10,1,Easy,12,98,49,66.81,10.0,49.29,F,Fail,Low
STU_000035,16,Male,Undergraduate,Public,High,Bachelor,72.41,3.15,72.2,High,4.08,2.11,0,High,Quiet,Weekly,4,8.49,6.47,1.36,10,1,Easy,23,97,91,100.0,6.18,92.31,A,Pass,High
STU_000036,20,Female,High School,Charter,Low,High School,81.06,3.3,64.3,Low,3.6,3.02,1,High,Noisy,Weekly,6,7.17,4.62,0.99,10,1,Hard,1,90,47,84.02,9.14,51.14,D,Pass,Low
STU_000037,15,Female,Undergraduate,Public,Low,Bachelor,59.45,2.25,75.7,High,1.26,0.74,0,Low,Moderate,Weekly,4,8.07,4.26,1.91,7,1,Hard,9,87,53,70.4,7.34,60.83,D,Pass,Medium
STU_000038,17,Male,Undergraduate,Public,Middle,Bachelor,49.26,2.01,65.93,High,1.53,0.92,0,Medium,Quiet,Weekly,1,7.96,5.39,1.17,7,1,Medium,25,85,42,91.74,7.76,53.66,D,Pass,Low
STU_000039,17,Female,Undergraduate,Public,Lower-Middle,Associate,91.29,3.74,80.59,High,4.38,2.26,0,Medium,Moderate,Rarely,7,6.8,5.5,2.05,7,1,Easy,10,87,82,64.28,8.04,96.07,A,Pass,High
STU_000040,20,Male,Undergraduate,Public,High,High School,59.7,2.19,74.8,Medium,4.24,3.0,0,Medium,Quiet,Rarely,4,9.27,4.63,4.29,10,1,Medium,18,90,61,89.62,9.4,67.43,C,Pass,Medium
STU_000041,19,Male,Undergraduate,Public,High,Associate,66.92,2.83,90.66,High,5.19,4.09,0,Medium,Moderate,Daily,10,7.28,3.68,4.78,10,1,Easy,17,96,66,77.6,10.0,68.46,C,Pass,Medium
STU_000042,19,Female,High School,Public,Low,High School,47.21,1.8,62.9,High,2.59,1.44,0,Low,Moderate,Weekly,6,7.76,6.22,1.65,10,1,Medium,17,91,39,45.89,9.53,40.38,F,Fail,Low
STU_000043,20,Male,High School,Public,Upper-Middle,Bachelor,64.26,2.59,71.43,Medium,1.57,1.23,0,Low,Moderate,Rarely,6,5.95,4.94,1.39,10,1,Easy,13,96,59,59.72,8.08,64.78,D,Pass,Medium
STU_000044,19,Male,Undergraduate,Public,Middle,Master,77.14,3.0,66.97,Medium,2.41,2.16,0,Medium,Quiet,Weekly,8,5.24,4.51,0.81,10,1,Medium,13,94,56,79.0,10.0,58.63,D,Pass,Low
STU_000045,16,Male,High School,Public,Lower-Middle,Master,71.13,2.66,77.43,High,1.75,0.98,1,Low,Moderate,Rarely,7,6.53,4.06,1.89,7,1,Hard,21,85,55,97.17,7.16,64.03,D,Pass,Medium
STU_000046,17,Female,High School,Public,Upper-Middle,Master,56.78,2.28,75.4,Low,1.64,1.39,0,Medium,Quiet,Daily,4,6.43,6.89,3.35,10,1,Hard,2,99,39,74.87,7.61,42.53,F,Fail,Low
STU_000047,20,Female,High School,Public,Middle,Master,81.12,3.34,73.7,Medium,4.52,3.29,0,Medium,Quiet,Daily,6,6.76,4.17,2.37,10,0,Hard,3,91,64,73.6,9.5,70.64,C,Pass,Medium
STU_000048,17,Male,Undergraduate,Public,Lower-Middle,High School,52.34,2.78,72.49,Medium,3.27,2.54,1,Medium,Noisy,Weekly,5,7.26,3.46,0.89,10,1,Easy,24,89,59,70.51,9.35,65.12,C,Pass,Medium
STU_000049,14,Male,Undergraduate,Public,Lower-Middle,Master,45.81,1.68,59.23,Medium,2.74,2.43,0,Medium,Quiet,Weekly,4,6.34,3.89,1.29,10,1,Medium,6,94,43,56.8,8.6,44.75,F,Fail,Low
STU_000050,16,Female,Undergraduate,Charter,Middle,Associate,61.53,2.61,83.38,High,2.33,1.66,0,Medium,Quiet,Weekly,3,7.68,5.18,2.67,10,1,Medium,15,92,46,58.91,10.0,51.44,D,Pass,Low
STU_000051,18,Female,Undergraduate,Public,Middle,Bachelor,72.09,3.0,83.15,Medium,4.32,3.35,1,Medium,Moderate,Rarely,4,7.71,6.8,1.07,10,1,Hard,30,98,62,67.57,10.0,62.21,D,Pass,Medium
STU_000052,16,Male,Undergraduate,Public,Low,Associate,63.66,2.59,71.73,High,3.41,1.88,1,Medium,Quiet,Weekly,5,6.33,2.31,1.52,8,1,Medium,3,98,61,74.15,8.98,61.24,D,Pass,Medium
STU_000053,20,Male,High School,Charter,Middle,Bachelor,71.46,2.78,54.79,Low,1.72,1.52,1,Medium,Quiet,Rarely,5,9.56,3.26,0.33,6,1,Easy,21,90,89,81.9,7.27,98.97,A,Pass,High
STU_000054,18,Male,High School,Public,Middle,Master,71.34,2.83,91.67,Low,3.42,2.75,0,High,Moderate,Weekly,7,5.57,4.26,0.12,10,0,Easy,1,97,41,58.66,10.0,44.19,F,Fail,Low
STU_000055,14,Female,Undergraduate,Public,Upper-Middle,Associate,63.81,2.4,65.18,Medium,1.86,1.07,0,High,Quiet,Weekly,5,6.91,5.95,1.37,9,1,Medium,6,88,31,64.92,8.18,36.88,F,Fail,Low
STU_000056,20,Male,Undergraduate,Public,Lower-Middle,High School,71.95,2.57,79.91,High,4.63,2.97,0,Medium,Moderate,Weekly,8,7.21,4.33,3.86,10,1,Easy,21,93,82,100.0,9.15,89.57,A,Pass,High
STU_000057,15,Female,Undergraduate,Private,Upper-Middle,Associate,70.76,2.74,70.37,Medium,1.06,0.93,0,High,Noisy,Weekly,2,6.53,4.17,0.37,10,1,Hard,27,97,63,65.53,9.47,65.28,C,Pass,Medium
STU_000058,17,Male,Undergraduate,Public,Upper-Middle,Master,78.23,2.98,58.06,Medium,1.35,1.18,0,High,Moderate,Daily,7,7.51,4.63,8.46,10,1,Easy,17,91,68,69.56,10.0,76.9,B,Pass,Medium
STU_000059,14,Male,Undergraduate,Private,Lower-Middle,High School,67.59,2.96,77.85,Low,5.51,4.0,1,High,Moderate,Rarely,8,8.66,3.69,1.55,6,1,Medium,3,95,66,100.0,9.23,72.53,C,Pass,Medium
STU_000060,17,Male,High School,Public,Middle,Doctorate,59.31,2.49,80.57,Low,6.95,5.76,0,Low,Moderate,Weekly,11,9.71,3.36,7.98,10,1,Medium,18,97,78,86.38,8.67,79.86,B,Pass,Medium
STU_000061,19,Male,High School,Private,Middle,Bachelor,65.58,2.64,70.64,Low,2.87,1.75,1,Medium,Moderate,Weekly,5,6.48,5.75,5.14,10,1,Easy,19,98,41,67.01,9.43,44.92,F,Fail,Low
STU_000062,15,Male,High School,Private,Middle,Associate,66.7,2.85,52.94,Low,3.98,3.12,0,Medium,Quiet,Weekly,7,7.59,3.49,0.38,10,1,Hard,6,97,53,80.81,10.0,53.38,D,Pass,Low
STU_000063,15,Male,Undergraduate,Public,Lower-Middle,Associate,70.23,2.71,58.91,High,1.82,0.99,0,Low,Quiet,Weekly,8,6.54,5.39,1.17,10,1,Medium,4,87,45,78.55,10.0,52.55,D,Pass,Low
STU_000064,14,Female,Undergraduate,Public,Lower-Middle,Associate,58.77,2.08,87.26,Medium,7.15,4.82,0,Medium,Moderate,Weekly,10,6.96,5.11,3.93,10,1,Hard,23,99,78,74.58,8.86,79.1,B,Pass,Medium
STU_000065,15,Male,Undergraduate,Public,Middle,Bachelor,80.88,3.29,72.1,Medium,4.95,2.99,0,High,Moderate,Weekly,6,7.32,3.48,2.46,10,1,Medium,5,85,56,64.63,10.0,65.71,C,Pass,Medium
STU_000066,18,Male,High School,Private,Lower-Middle,Associate,76.47,3.14,75.87,High,5.09,3.42,0,Medium,Quiet,Weekly,3,5.07,4.88,0.76,10,1,Hard,15,95,55,100.0,8.86,57.71,D,Pass,Low
STU_000067,15,Female,High School,Charter,Middle,Bachelor,54.31,2.12,75.14,High,2.38,1.76,0,High,Quiet,Weekly,1,5.34,3.08,0.16,10,1,Hard,12,93,25,70.15,10.0,25.8,F,Fail,Low
STU_000068,17,Male,Undergraduate,Public,Low,Bachelor,36.28,1.23,60.65,Medium,1.13,0.61,1,High,Moderate,Weekly,4,8.43,5.87,4.47,10,1,Medium,26,91,42,65.67,10.0,48.17,F,Fail,Low
STU_000069,17,Male,Undergraduate,Private,Upper-Middle,Master,71.1,2.71,70.93,Low,4.65,2.45,0,Low,Quiet,Rarely,4,6.98,4.95,0.21,9,1,Hard,7,87,63,89.34,10.0,71.52,C,Pass,Medium
STU_000070,20,Male,High School,Public,High,High School,72.71,2.97,58.32,Medium,4.75,3.75,1,Medium,Moderate,Weekly,8,8.07,1.89,0.88,7,1,Hard,22,100,58,72.07,6.06,59.1,D,Pass,Low
STU_000071,17,Female,High School,Public,Lower-Middle,High School,57.56,2.29,70.88,Medium,3.16,1.73,0,Low,Quiet,Weekly,6,5.18,4.8,0.49,10,1,Medium,9,85,49,81.64,8.84,57.2,D,Pass,Low
STU_000072,20,Male,High School,Public,Lower-Middle,High School,71.74,2.87,77.47,Medium,4.15,2.41,0,Low,Noisy,Weekly,4,8.32,7.11,0.22,10,1,Medium,2,85,56,100.0,9.21,68.52,C,Pass,Medium
STU_000073,17,Male,Undergraduate,Private,Lower-Middle,Unknown,68.75,2.8,81.03,High,4.18,3.35,0,Medium,Noisy,Daily,4,5.54,6.16,7.83,10,0,Medium,10,90,34,80.48,10.0,40.32,F,Fail,Low
STU_000074,18,Male,High School,Public,Middle,High School,79.72,2.89,62.2,High,3.02,2.66,1,Medium,Quiet,Daily,6,6.24,6.07,0.66,10,1,Medium,6,90,45,64.45,8.76,50.63,D,Pass,Low
STU_000075,20,Male,High School,Public,High,Bachelor,61.28,2.55,80.52,Medium,2.69,2.22,0,Medium,Quiet,Daily,4,8.42,6.41,6.23,10,0,Easy,29,88,51,94.86,10.0,58.17,D,Pass,Low
STU_000076,16,Female,High School,Public,Lower-Middle,Doctorate,63.22,2.56,51.65,Medium,3.82,3.33,1,Medium,Quiet,Rarely,6,6.99,1.83,0.46,10,1,Medium,17,86,51,81.66,10.0,61.03,D,Pass,Medium
STU_000077,19,Female,High School,Public,Low,Unknown,61.35,2.41,65.69,Medium,1.92,1.53,0,Medium,Quiet,Weekly,3,7.92,3.7,1.41,10,1,Hard,27,94,41,97.76,9.5,43.29,F,Fail,Low
STU_000078,14,Female,High School,Private,Lower-Middle,High School,81.76,3.26,68.92,Medium,1.47,0.87,0,Low,Noisy,Rarely,2,5.68,6.83,2.48,10,1,Easy,9,92,66,60.88,9.84,71.79,C,Pass,Medium
STU_000079,17,Male,Undergraduate,Public,Middle,Associate,56.96,1.93,48.62,Medium,0.96,0.6,0,Medium,Noisy,Weekly,3,6.42,4.43,0.75,10,1,Hard,2,89,9,75.76,8.89,9.6,F,Fail,Low
STU_000080,15,Female,Undergraduate,Public,Upper-Middle,Bachelor,84.83,3.39,63.54,Low,2.84,1.84,0,Medium,Noisy,Weekly,3,6.65,3.23,0.87,10,1,Easy,28,98,95,81.57,10.0,95.75,A,Pass,High
STU_000081,17,Female,Undergraduate,Private,Lower-Middle,Master,65.76,2.66,73.45,Medium,0.5,0.31,0,Medium,Noisy,Rarely,5,5.71,5.64,1.28,10,1,Easy,9,94,59,85.73,9.98,62.67,D,Pass,Medium
STU_000082,15,Male,High School,Private,Low,High School,73.37,3.08,74.41,Medium,2.18,1.16,0,Low,Moderate,Daily,9,6.54,6.46,0.54,10,1,Easy,22,99,79,60.1,8.71,77.87,B,Pass,Medium
STU_000083,19,Male,High School,Private,Low,Bachelor,64.58,2.59,84.61,Low,5.0,2.99,0,Medium,Moderate,Weekly,5,7.51,7.73,1.0,7,1,Easy,18,92,92,86.85,7.16,98.85,A,Pass,High
STU_000084,19,Male,High School,Public,Upper-Middle,Master,77.76,3.04,63.1,Medium,4.57,2.74,0,Medium,Noisy,Weekly,8,6.53,3.88,10.5,10,1,Medium,6,98,83,68.9,10.0,85.75,A,Pass,High
STU_000085,19,Male,Undergraduate,Public,Middle,Bachelor,70.11,2.87,87.03,Medium,5.46,2.85,1,Low,Moderate,Weekly,7,7.76,3.2,3.38,10,1,Medium,6,94,74,59.32,10.0,80.23,B,Pass,High
STU_000086,15,Male,High School,Public,Low,Master,43.91,1.73,70.33,Low,5.5,3.96,0,Medium,Quiet,Weekly,7,5.3,6.77,0.52,10,1,Easy,4,89,74,77.25,8.76,81.98,B,Pass,High
STU_000087,17,Male,High School,Public,Middle,Bachelor,61.52,2.68,84.82,Medium,4.76,3.73,1,Low,Moderate,Weekly,11,5.8,6.94,2.85,10,1,Hard,19,91,42,79.0,9.4,44.07,F,Fail,Low
STU_000088,19,Female,High School,Public,Middle,Bachelor,73.53,2.6,64.88,Low,0.66,0.42,1,Medium,Quiet,Weekly,4,5.64,3.18,0.39,10,1,Easy,30,86,32,72.54,9.32,36.23,F,Fail,Low
STU_000089,18,Male,Undergraduate,Public,High,Associate,64.67,2.65,89.24,Low,3.34,2.67,1,Low,Quiet,Weekly,6,6.26,3.86,1.59,10,1,Medium,16,90,66,81.66,8.37,71.89,C,Pass,Medium
STU_000090,20,Female,High School,Charter,Low,Master,60.47,2.52,72.18,Medium,1.33,1.07,0,High,Noisy,Daily,3,7.39,4.22,5.38,10,1,Hard,7,88,40,83.85,10.0,42.87,F,Fail,Low
STU_000091,15,Male,Undergraduate,Public,Middle,Associate,67.12,2.68,62.45,Low,4.06,2.69,0,Medium,Quiet,Weekly,6,5.75,7.84,0.27,8,1,Medium,2,92,66,88.97,9.16,70.13,C,Pass,Medium
STU_000092,15,Male,Undergraduate,Private,Lower-Middle,High School,87.18,3.65,65.41,Low,3.43,2.88,0,Medium,Noisy,Daily,6,6.94,3.16,1.96,10,1,Hard,1,91,41,46.78,10.0,47.16,F,Fail,Low
STU_000093,17,Male,Undergraduate,Public,Middle,Bachelor,57.39,2.24,46.32,Medium,1.07,0.65,0,Medium,Quiet,Daily,1,4.57,4.75,1.26,10,1,Easy,8,92,44,90.77,10.0,46.73,F,Fail,Low
STU_000094,15,Male,Undergraduate,Public,Low,High School,83.6,3.2,68.52,Low,3.9,2.02,0,High,Noisy,Rarely,11,8.78,5.63,0.9,10,1,Easy,20,91,83,91.41,10.0,88.64,A,Pass,High
STU_000095,15,Female,High School,Public,Lower-Middle,High School,71.06,2.8,69.21,Medium,5.55,3.44,0,High,Moderate,Weekly,13,7.31,3.83,4.45,10,1,Medium,24,86,78,66.24,8.8,90.9,A,Pass,High
STU_000096,19,Female,Undergraduate,Private,Upper-Middle,Master,85.12,3.39,60.5,High,2.22,1.85,0,Low,Moderate,Weekly,7,7.56,6.72,0.32,10,1,Medium,19,86,61,79.38,8.72,70.11,C,Pass,Medium
STU_000097,17,Male,Undergraduate,Charter,Middle,Associate,57.47,2.3,69.42,Medium,0.57,0.35,0,Medium,Moderate,Daily,4,6.66,4.05,3.55,8,1,Easy,13,85,45,78.39,7.03,51.94,D,Pass,Low
STU_000098,19,Female,Undergraduate,Private,Lower-Middle,Bachelor,67.92,2.9,83.11,Medium,3.44,2.47,1,Low,Moderate,Weekly,4,5.76,5.19,1.22,9,0,Easy,17,100,83,85.51,10.0,82.77,B,Pass,High
STU_000099,20,Male,Undergraduate,Public,Upper-Middle,High School,74.46,2.97,63.4,Medium,1.73,1.19,0,Medium,Moderate,Weekly,7,6.02,4.44,1.53,8,1,Hard,6,99,53,81.41,7.07,53.84,D,Pass,Low
STU_000100,20,Male,High School,Public,Lower-Middle,Associate,61.38,2.5,68.35,Low,1.66,1.43,0,High,Quiet,Weekly,4,6.12,3.5,0.29,8,1,Medium,19,92,40,74.61,8.36,45.58,F,Fail,Low
STU_000101,19,Male,High School,Charter,High,High School,59.03,2.24,60.79,High,2.94,1.5,0,Medium,Moderate,Daily,6,6.08,5.94,0.99,10,1,Medium,15,95,62,74.61,6.95,65.95,C,Pass,Medium
STU_000102,20,Female,Undergraduate,Public,Middle,High School,67.59,2.65,73.98,High,3.67,2.79,1,Low,Quiet,Weekly,3,4.86,7.34,1.85,10,1,Medium,3,99,58,56.56,10.0,56.56,D,Pass,Low
STU_000103,17,Female,Undergraduate,Public,Middle,Bachelor,64.5,2.48,92.13,High,4.74,4.02,0,Medium,Noisy,Weekly,10,7.88,3.76,2.95,10,1,Medium,14,87,87,49.25,10.0,100.0,A,Pass,High
STU_000104,14,Female,High School,Charter,Middle,High School,54.8,2.46,65.17,Medium,3.26,2.44,0,Medium,Moderate,Weekly,7,4.84,6.09,4.0,10,1,Easy,14,86,59,91.03,10.0,70.16,C,Pass,Medium
STU_000105,19,Female,High School,Public,Middle,Master,82.35,3.35,72.76,Medium,4.13,3.71,1,High,Quiet,Daily,6,5.82,3.85,4.03,10,1,Hard,14,88,52,75.87,9.01,59.11,D,Pass,Low
STU_000106,18,Female,Undergraduate,Public,High,Master,91.51,3.42,99.03,Medium,4.54,2.81,0,High,Quiet,Weekly,7,7.27,2.57,2.04,9,0,Easy,19,95,93,68.34,6.36,97.48,A,Pass,High
STU_000107,18,Female,High School,Public,Middle,Associate,84.14,3.38,70.07,Medium,6.08,3.4,1,High,Quiet,Weekly,5,7.2,7.12,5.78,10,1,Medium,6,100,77,94.36,10.0,79.05,B,Pass,Medium
STU_000108,15,Female,Undergraduate,Private,Lower-Middle,Bachelor,58.32,2.78,73.46,Medium,4.4,2.91,0,Medium,Quiet,Weekly,4,6.53,4.23,5.89,7,1,Easy,30,93,59,98.94,7.55,62.74,D,Pass,Medium
STU_000109,20,Female,Undergraduate,Charter,Lower-Middle,High School,71.95,3.08,83.81,High,2.67,2.08,0,High,Noisy,Rarely,6,7.53,3.57,0.09,9,1,Easy,7,97,82,100.0,7.44,84.64,B,Pass,High
STU_000110,18,Female,High School,Charter,Lower-Middle,Bachelor,39.77,1.34,61.96,Medium,1.53,1.35,1,Medium,Noisy,Rarely,8,8.58,5.56,0.68,10,1,Medium,5,94,42,71.63,10.0,46.33,F,Fail,Low
STU_000111,15,Female,High School,Public,Upper-Middle,Associate,54.07,2.4,59.07,Low,2.43,1.87,0,Medium,Moderate,Weekly,4,5.31,5.72,2.63,10,0,Hard,8,92,27,79.0,10.0,28.93,F,Fail,Low
STU_000112,14,Male,High School,Public,Middle,High School,57.62,2.34,69.74,Medium,1.92,1.46,0,Medium,Quiet,Weekly,3,6.79,3.48,1.36,10,1,Easy,16,94,39,79.0,10.0,41.15,F,Fail,Low
STU_000113,17,Male,Undergraduate,Public,Middle,Master,51.47,1.99,83.1,Medium,1.83,1.56,0,Medium,Moderate,Weekly,1,5.82,5.76,1.1,10,1,Medium,10,94,29,82.08,9.42,30.13,F,Fail,Low
STU_000114,17,Female,High School,Public,Low,Bachelor,82.62,3.35,68.58,Low,1.79,0.94,0,Medium,Noisy,Weekly,8,6.63,3.8,5.09,10,1,Medium,19,96,56,73.61,10.0,56.77,D,Pass,Low
STU_000115,17,Male,Undergraduate,Public,Upper-Middle,High School,72.64,2.66,86.21,Medium,3.49,2.69,0,Medium,Noisy,Weekly,8,7.17,5.57,0.37,10,1,Hard,18,93,65,89.66,10.0,68.76,C,Pass,Medium
STU_000116,18,Female,High School,Public,Upper-Middle,Bachelor,73.72,2.83,54.49,Medium,1.84,1.61,0,Medium,Quiet,Daily,9,7.68,8.05,1.85,10,1,Hard,30,92,69,75.98,10.0,74.69,C,Pass,Medium
STU_000117,14,Male,High School,Public,Middle,Bachelor,70.64,2.72,56.33,Low,1.45,1.07,1,Medium,Noisy,Rarely,4,6.18,5.8,0.42,10,1,Medium,20,93,47,90.25,10.0,52.13,D,Pass,Low
